competition_edition_id,competition_id,competition_name,season_id,season_name,player_id,player_name,player_short_name,player_birthdate,team_id,team_name,position_group,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count_p30tip,pass_count_goalwithin10s_p30tip,pass_count_shotwithin10s_p30tip,pass_count_attempted_total,pass_count_attempted_p30tip,pass_count_completed_p30tip,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted_p30tip,pass_count_onetouch_attempted_p30tip,pass_count_quickpass_attempted_p30tip,pass_count_onetouch_dangerous_attempted_p30tip,pass_count_quickpass_dangerous_attempted_p30tip,passopportunity_count_linebreak_p30tip,pass_count_linebreak_attempted_p30tip,pass_count_linebreak_completed_p30tip,passopportunity_count_torun_p30tip,pass_count_torun_attempted_p30tip,pass_count_torun_completed_p30tip,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s_p30tip,pass_count_torun_goalwithin10s_p30tip,passopportunity_count_dangerous_p30tip,pass_count_dangerous_attempted_p30tip,pass_pct_dangerous_completed,pass_count_dangerous_completed_p30tip,pass_count_difficultpass_attempted_p30tip
870,61,AUS - A-League,95,2024/2025,795530,Nicholas Pennington,N. Pennington,1998-12-18,871,Perth Glory Football Club,Center Forward,98.88,19.44,37.05,1,1,0,102.0,157.41,0.0,3.09,37.0,57.1,47.84,83.78,83.92,15.09,4.63,26.23,7.72,1.54,0.0,21.6,7.72,4.63,32.41,12.35,10.8,87.5,73.95,0.0,0.0,10.8,3.09,50.0,1.54,10.8
870,61,AUS - A-League,95,2024/2025,795530,Nicholas Pennington,N. Pennington,1998-12-18,871,Perth Glory Football Club,Midfield,94.22,20.9,30.96,8,8,0,934.0,167.57,0.36,3.05,307.0,55.08,46.29,84.04,83.2,16.33,4.31,17.94,13.81,2.15,1.61,33.19,9.87,6.28,20.27,8.97,6.28,70.0,66.33,1.08,0.0,18.48,6.1,38.24,2.33,11.66
870,61,AUS - A-League,95,2024/2025,795533,Jarrod Carluccio,J. Carluccio,2001-02-08,871,Perth Glory Football Club,Full Back,96.52,24.69,33.49,2,2,0,225.0,136.7,0.0,1.82,80.0,48.6,38.88,80.0,86.35,14.86,1.82,8.51,9.11,0.61,1.82,24.3,2.43,1.82,35.24,9.11,7.9,86.67,80.4,0.0,0.0,18.83,3.65,50.0,1.82,7.9
870,61,AUS - A-League,95,2024/2025,795533,Jarrod Carluccio,J. Carluccio,2001-02-08,871,Perth Glory Football Club,Wide Attacker,97.97,16.57,35.73,2,2,0,105.0,95.08,0.0,3.62,35.0,31.69,25.35,80.0,78.58,16.04,0.0,7.24,7.24,0.0,0.91,3.62,0.91,0.91,42.56,11.77,9.06,76.93,73.22,3.62,0.0,21.73,6.34,85.71,5.43,8.15
870,61,AUS - A-League,95,2024/2025,795537,Thomas Waddingham,T. Waddingham,2005-04-05,1802,Brisbane Roar FC,Center Forward,89.62,20.47,29.56,7,7,0,228.0,47.73,0.42,2.09,74.0,15.49,11.72,75.68,72.66,10.9,0.21,6.28,4.81,0.63,1.26,0.63,0.42,0.42,15.07,4.19,2.93,70.0,70.89,0.63,0.42,16.96,3.56,52.94,1.88,3.77
870,61,AUS - A-League,95,2024/2025,795544,Wataru Kamijo,W. Kamijo,2006-04-17,869,Sydney Football Club,Midfield,81.31,25.35,20.82,4,4,0,453.0,134.02,0.0,2.37,142.0,42.01,34.91,83.1,86.95,12.89,0.59,14.5,11.54,0.89,0.0,24.26,7.69,5.33,10.95,5.03,4.14,82.35,77.34,0.59,0.0,5.62,1.18,100.0,1.18,6.8
870,61,AUS - A-League,95,2024/2025,795545,Aaron Gurd,A. Gurd,2001-09-18,869,Sydney Football Club,Central Defender,93.74,25.21,23.48,3,3,0,395.0,156.66,0.0,0.0,140.0,55.53,49.18,88.57,93.32,15.33,1.59,8.73,16.26,0.0,0.0,39.66,13.09,10.71,11.5,3.17,2.78,87.5,90.51,0.0,0.0,1.19,0.4,0.0,0.0,3.17
870,61,AUS - A-League,95,2024/2025,795547,Zachary de Jesus,Z. de Jesus,2006-02-04,869,Sydney Football Club,Full Back,79.1,25.3,16.71,6,6,0,589.0,116.42,0.4,1.19,220.0,43.48,36.17,83.18,86.41,13.59,0.59,8.7,11.07,0.99,0.2,20.95,5.73,4.55,28.86,9.29,7.91,85.11,84.42,0.79,0.2,13.05,3.36,17.65,0.59,6.52
870,61,AUS - A-League,95,2024/2025,796012,Fabian Monge,F. Monge,2001-06-12,868,Melbourne Victory Football Club,Midfield,64.9,18.99,16.09,1,1,0,59.0,93.21,0.0,1.58,19.0,30.02,30.02,100.0,94.58,14.55,1.58,4.74,11.06,0.0,0.0,11.06,1.58,1.58,3.16,0.0,0.0,,,0.0,0.0,9.48,1.58,100.0,1.58,1.58
870,61,AUS - A-League,95,2024/2025,796014,Lachlan Barr,L. Barr,1994-09-24,871,Perth Glory Football Club,Central Defender,96.55,22.95,33.58,3,3,0,409.0,178.24,0.0,0.0,153.0,66.68,60.14,90.2,94.42,17.15,4.36,11.77,17.87,0.0,0.0,43.14,13.95,12.64,23.53,8.28,7.41,89.47,90.66,0.0,0.0,0.87,0.0,,0.0,3.49
870,61,AUS - A-League,95,2024/2025,797295,Luka Jovanovic,L. Jovanovic,2005-05-20,866,Adelaide United Football Club,Center Forward,71.31,20.27,20.23,6,5,1,189.0,55.94,0.3,1.48,49.0,14.5,11.25,77.55,78.66,11.82,0.3,5.33,2.07,0.59,0.3,0.59,0.3,0.3,19.54,5.62,3.85,68.42,76.71,0.0,0.0,19.54,2.66,55.56,1.48,3.55
870,61,AUS - A-League,95,2024/2025,797298,Adam Zimarino,A. Zimarino,2001-08-28,1802,Brisbane Roar FC,Center Forward,66.26,19.82,21.23,3,3,0,84.0,42.39,0.0,2.02,23.0,11.61,9.08,78.26,73.33,14.73,1.01,3.03,3.53,1.01,1.51,1.01,0.5,0.5,12.11,5.05,3.03,60.0,72.94,1.01,0.0,15.14,3.53,71.43,2.52,3.03
